accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
ROOFTOP,"7 Northcote Terrace, Medindie SA 5081, Australia",ChIJf1cPiBfJsGoRhEJmAUDu9w8,7 Northcote Tce,-34.9011662,138.6088613,1,5081,OK,street_address
ROOFTOP,"12 North East Road, Walkerville SA 5081, Australia",ChIJk3U-qA_JsGoRFH6uWzZqfdM,12 North East Rd,-34.8922645,138.6107987,1,5081,OK,premise
GEOMETRIC_CENTER,"King William Street, Adelaide SA 5000, Australia",ChIJJwLe5NXOsGoR7QaqTiTKYTg,Z1 King William St,-34.924334,138.599725,1,5000,OK,route
ROOFTOP,"15 North East Road, Collinswood SA 5081, Australia",ChIJUaJUDA_JsGoRyr8bb9dd5xo,15 North East Rd,-34.8918196,138.6103089,1,5081,OK,street_address
GEOMETRIC_CENTER,"Peacock Rd, Elizabeth Downs SA 5113, Australia",ChIJG1ScfhytsGoR9CJ6OamNAeQ,O1 Peacock Rd,-34.7027897,138.6918875,1,5113,OK,route
ROOFTOP,"3 Melbourne St, North Adelaide SA 5006, Australia",ChIJFeeSoiTJsGoRkyXuW0gUU8c,3 Melbourne St,-34.9074103,138.6076429,1,5006,OK,street_address
ROOFTOP,"5 Melbourne St, North Adelaide SA 5006, Australia",ChIJU9zboiTJsGoRAh5xY2zTKCc,5 Melbourne St,-34.9074872,138.6077051,1,5006,OK,street_address
RANGE_INTERPOLATED,"32 Briens Rd, Gepps Cross SA 5094, Australia",EiwzMiBCcmllbnMgUmQsIEdlcHBzIENyb3NzIFNBIDUwOTQsIEF1c3RyYWxpYSIaEhgKFAoSCef6hXEYtrBqEUR0Em8577TtECA,32 Briens Rd,-34.8444135,138.6194095,1,5094,OK,street_address
ROOFTOP,"34 Wright Rd, Ingle Farm SA 5098, Australia",ChIJR2j_iXK2sGoROezLPlfOuJ0,34 Wright Rd,-34.8358952,138.6298234,1,5098,OK,premise
ROOFTOP,"14 North East Road, Walkerville SA 5081, Australia",ChIJk6qxBg_JsGoRWmaNJHlwtb4,14 North East Rd,-34.8918679,138.611367,1,5081,OK,street_address
ROOFTOP,"34 Rm Williams Dr, Walkley Heights SA 5098, Australia",ChIJnel4Et-1sGoRhX-FduZOZZc,34C RM Williams Dr,-34.8396447,138.6403367,1,5098,OK,premise
GEOMETRIC_CENTER,"Grote St, Adelaide SA 5000, Australia",ChIJR5F4-yPPsGoRXCN_bObTOTE,D2 Grote St,-34.929026,138.5934004,1,5000,OK,route
